AERO3560,Flight Mechanics 1,"This unit aims to develop an understanding of aircraft longitudinal equilibrium, static stability, dynamic stability and response. Students will develop an understanding of the importance and significance of flight stability, will gain skills in dynamic system analysis and will learn mathematical tools used for prediction of aircraft flight behaviour. Students will gain skills in problem solving in the area of flight vehicle motion, and learn the fundamentals of flight simulation. At the end of this unit students will be able to understand: aircraft flight conditions and equilibrium; the effects of aerodynamic and propulsive controls on equilibrium conditions; the significance of flight stability and its impact of aircraft operations and pilot workload; the meaning of aerodynamic stability derivatives and their sources; the effects of aerodynamic derivatives on flight stability; the impact of flight stability and trim on all atmospheric flight vehicles. Students will also be able to model aircraft flight characteristics using computational techniques and analyse the aircraft equations of rigid-body motion and to extract stability characteristics. Unit content will include static longitudinal aircraft stability: origin of symmetric forces and moments; static and manoeuvring longitudinal stability, equilibrium and control of rigid aircraft; aerodynamic load effects of wings, stabilisers, fuselages and power plants; trailing edge aerodynamic controls; trimmed equilibrium condition; static margin; effect on static stability of free and reversible controls.    Classes<br>    Lectures, Tutorials, Laboratories    Assessment<br>    Through semester assessment (50%) and Final Exam (50%)    Assumed knowledge<br>    This Unit of Study builds on basic mechanics and aerodynamics material covered in previous Units and focuses it towards the analysis and understanding of aircraft flight mechanics. It is expected that students have satisfactorily completed the following material: ENGG1802 Engineering Mechanics: Forces, moments, equilibrium, momentum, energy, linear and angular motion. AMME2500 Engineering Dynamics 1: Mechanisms, kinematics, frames of reference, mass and inertia, dynamics. If you struggled to pass AMME2500 and/or ENGG1802, you should spend some time revising the material of those Units of Study early in the semester.	                                        	                                                        Pre-requisites            AMME2500                    Co-requisites            AMME3500                                            "
AERO3660,Aerospace Management,No official course description found
AERO3711,Aerospace Engineering Project 2,"This unit of study aims to develop deeper practical knowledge in the area of Aerospace systems engineering. Students who take this subject would be interested in developing design skills by working on the sub-system of a real satellite or launch vehicle, autonomous vehicle research, flight simulation research or advanced propulsion systems research.    Classes<br>    Meeting, Project Work - own time    Assessment<br>    Through semester assessment (100%)    Additional information<br>    Note 1: A WAM of &gt; 75% is required as well as departmental permission from the Space Engineering coordinator. Note 2: There is a cap on the number of students allowed to do this subject in any one semester- depending on resources available.    Assumed knowledge<br>    Completed the first 2 years of Aero(Space), Mechanical(Space) or Mechatronic(Space) Engineering.	                                        	        "
AERO3760,Space Engineering 2,"This unit of study aims to provide students with a learning environment that promotes systems thinking and allows students to develop skills in systems analysis and design. In particular the unit will focus on Aerospace systems, and students will develop both theoretical and practical skills in the area of systems engineering for this discipline. The primary objective is to develop fundamental systems engineering and systems thinking skills. At the end of this unit students will be able to: define the requirements process and be able to apply it to aerospace systems design; conduct requirements analysis for an aerospace system and to drill down through requirements breakdown and the use of the V-diagram in this analysis; conduct functional and technical analysis and determine design drivers in a system; manage the use of a log book and its application in engineering design; develop technical skills in the design and development of satellite subsystems; conduct appropriate interaction processes between team members for the successful achievement of goals. Course content will include fundamentals of systems engineering; satellite subsystems; systems design.    Classes<br>    Lectures, Practical Experience    Assessment<br>    Through semester assessment (100%)                                        	                                                        Pre-requisites            Students must have a 65% average in (AMME2500 AND AMME2261 AND AMME2301 AND AERO2705) OR (AMME2500 AND AMME2301 AND MTRX2700 AND AERO2705). Note: MUST have passed AERO2705                                                "
AERO4206,Rotary Wing Aircraft,No official course description found
AERO4260,Aerodynamics 2,"This unit aims to introduce students to: elementary and advanced topics in Gasdynamics (High Speed Flows). Course content will include review of Equations of Gasdynamics, One-Dimensional Gas Flow, Isentropic Flows, Normal Shock, Flow in a Converging and Converging-Diverging Nozzle, Steady Two-dimensional Supersonic Flow, Shock waves (Normal and Oblique), Method of Characteristics, Two-dimensional Supersonic Aerofoils, Introduction to Three Dimensional Effects, Unsteady Flows, Moving Shocks, Shock Tube Flow and Transonic Flow and Compressible Boundary Layers, introduction to turbulent flows.At the end of this unit the student will be able to calculate a high speed flow about an aerofoil and compressible flow through a duct of varying cross-section and will have a good appreciation of Transonic and Hypersonic Flows.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (30%) and Final Exam (70%)                                        	                                                        Pre-requisites            AMME2200 OR AMME2261                                                "
AERO4360,Aerospace Structures 2,"This unit aims to teach fundamentals of modern numerical and analytical techniques for evaluating stresses, strains, deformations and strengths of representative aerospace structures. In particular the focus is on developing an understanding of: Fundamental concepts and formulations of the finite element methods for basic structural analysis; Elements for typical aerospace structures, such as beams/frames, plates/shells, and their applications and limitations; Finite element techniques for various types of problems pertinent to aerospace structures; and, developing hands-on experience of using selected commercial finite element analysis program. At the end of this unit of study the following will have been covered: Introduction to Finite Element Method for modern structural and stress analysis; One-dimensional rod elements; Generalization of FEM for elasticity; Two- and three-dimensional trusses; FEA for beams and frames in 2D and 3D; Two-dimensional problems using constant strain triangular elements; The two-dimensional isoparametric elements; Plates and shells elements and their applications; FEA for axisymmetric shells and pressure vessels, shells of revolution; FEA for axisymmetric solids subjected to axi-symmetric loading; FEA for structural dynamics, eigenvalue analysis, modal response, transient response; Finite element analysis for stress stiffening and buckling of beams, plates and shells; Three-dimensional problems in stress analysis; Extensions to the element library, higher order elements, special elements; Constraints; FEA modeling strategy; FEA for heat conduction; FEA for non-linear material and geometric analysis.    Classes<br>    Lectures, Laboratories/Tutorials    Assessment<br>    Through semester assessment (55%) and Final Exam (45%)    Assumed knowledge<br>    AERO3465	                                        	                                                        Pre-requisites            AERO3360                                                "
AERO4460,Aerospace Design 3,"This unit aims to develop an understanding of the application of design to the modern aerospace industry. Students will gain an overview of how to manage a design team and will also gain skills in carrying out detailed design problems. Course content will include: Design requirements; Sources of information for aircraft design; Configuration design: performance, weight and balance, propulsion; Aerodynamic design: lift, drag and control; Structural design: loads, materials; Philosophies of design and analysis; System design: requirements and specification; System design procedures; systems integration.    Classes<br>    Lectures, Project Work - in class, Project Work - own time    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    AERO1400 and AERO2703 and AERO3465	                                        	                                                        Pre-requisites            AERO3260 and AERO3261 and AERO3360 and AERO3460                                                "
AERO4491,Advanced Aircraft Design,No official course description found
AERO4560,Flight Mechanics 2,"This unit aims to develop an understanding of the application of flight mechanics principles to modern aircraft systems. Students will gain skills in problem solving in the areas of dynamic aircraft behaviour, aircraft sensitivity to wind gusts, control systems development and aircraft handling analysis. At the end of this unit students will be able to: understand the nature of an aircraft&apos;s response to control inputs and atmospheric disturbances, including the roles of the various modes of motion; analyse an aircraft&apos;s response to control inputs in the frequency domain using Laplace Transforms and Transfer Function representations; represent and model wind gust distributions using stochastic methods (Power Spectral Density); analyse an aircraft&apos;s response to disturbances (wind gust inputs) by combining Transfer Function representations with gust PSD&apos;s; understand the principles of stability augmentation systems and autopilot control systems in aircraft operation, their functions and purposes; understand basic feedback control systems and classical frequency domain loop analysis; understand the characteristics of closed loop system responses; understand the characteristics of PID, Lead, Lag and Lead-Lag compensators, and to be competent in designing suitable compensators using Bode and Root-locus design techniques; design multi-loop control and guidance systems and understand the reasons for their structures.    Classes<br>    Lectures, Tutorials, Laboratories    Assessment<br>    Through semester assessment (50%) and Final Exam (50%)    Assumed knowledge<br>    AMME2500 develops the basic principles of engineering mechanics and system dynamics that underpin this course. AERO3560 Flight Mechanics 1 develops the specifics of aircraft flight dynamics and stability. AMME3500 Systems control covers basic system theory and control system synthesis techniques.	                                        	                                                        Pre-requisites            AERO3560 and AMME3500                                                "
AERO4591,Advanced Flight Mechanics,No official course description found
AERO4701,Space Engineering 3,"This unit aims to teach students the fundamental principles and methods of designing solutions to estimation and control problems in aerospace engineering applications. Students will apply learned techniques in estimation and control theory to solving a wide range of different problems in engineering such as satellite orbit determination, orbit transfers, satellite attitude determination, satellite positioning systems and remote sensing. Students will learn to recognise and appreciate the coupling between the different elements within an estimation and control task, from a systems-theoretic perspective. Students will learn to use this system knowledge and basic design principles to design and test a solution to a given estimation task, with a focus on aerospace applications (such as satellite remote sensing).    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (100%)                                        	                                                        Pre-requisites            [65% average in (AERO3460 AND AERO3360 AND AERO3560 AND AERO3760) OR (MECH3660 AND MECH3261 AND MECH3361 AND AERO3760) OR (MECH3660 AND AMME3500 AND MTRX3700 AND AERO3760)] AND [Must have passed AERO3760]. Students must have achieved a 65% average mark in 3rd year for enrolment in this unit.                                                "
AERO4711,Aerospace Engineering Project 3,"This unit of study aims to develop deeper practical knowledge in the area of Aerospace systems engineering. Students who take this subject would be interested in developing design skills by working on the sub-system of a real satellite or launch vehicle, autonomous vehicle research, flight simulation research or advanced propulsion systems research.    Classes<br>    Meeting, Project Work - own time    Assessment<br>    Through semester assessment (100%)    Additional information<br>    Note 1: A WAM of &gt; 75% is required as well as departmental permission from the Space Engineering coordinator. Note 2: There is a cap on the number of students allowed to do this subject in any one semester- depending on resources available.    Assumed knowledge<br>    Completed the first three years of Aero(Space), Mechanical(Space) or Mechatronic(Space) Engineering.	                                        	        "
AERO4712,Advanced Aerospace Project 4,No official course description found
AERO5010,Optimisation Methods in Engineering,No official course description found
AERO5200,Advanced Aerodynamics,"Objectives/Expected Outcomes: To develop a specialist knowledge in the fields of computational, non-linear and unsteady aerodynamics. The develop familiarity with the techniques for predicting airflow/structure interactions for aerospace vehicles.Syllabus Summary: Advanced two and three dimensional panel method techniques; calculation of oscillatory flow results; prediction of aerodynamic derivatives. Pressure distributions for complete aircraft configuration. Unsteady subsonic flow analysis of aircraft; calculation of structural modes. Structural response to gusts; aeroelasticity; flutter and divergence. Solution of aerospace flow problems using finite element methods. Unsteady supersonic one-dimensional flow. Hypersonic flow; real gas effects. Introduction to the use of CFD for transonic flow.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    BE in the area of Aerospace Engineering or related Engineering field.	                                        	                                                        Pre-requisites            AERO5210 or AERO9260 or AERO3260                                                "
AERO5206,Rotary Wing Aircraft,"This unit aims to develop an understanding of the theory of flight, design and analysis of helicopters, auto-gyros and other rotary wing aircraft. Students will gain an appreciation of the extra difficulties involved when the vehicle flow is cyclic in nature. At the end of this unit students will be able to: Identify and predict the various flow states of a generic lift producing rotor; Use appropriate methods to determine the forces and torques associated with the rotor; Estimate values for typical stability derivatives for helicopters and be able to construct a simple set of stability analysis equations for the vehicle; become aware of the regulatory and liability requirements relating to all aspects of commercial helicopter operation and maintenance. Course content will include introduction to rotary wing aircraft; vertical flight performance; forward flight performance; blade motion and control; dynamics of rotors; rotor-craft stability; rotor blade design.    Classes<br>    Lectures, Tutorials    Assessment<br>    through semester assessment (100%)    Assumed knowledge<br>    Prior Learning : concepts from 3000 level Aerodynamics and Flight Mechanics will be applied to Rotary Wing Vehicles in this unit.	                                        	                                                        Pre-requisites            (AERO3260 OR AERO9260) AND (AERO3560 OR AERO9560)                                                "
AERO5210,Foundations of Aerodynamics,No official course description found
AERO5211,Foundations of Propulsion Systems,No official course description found
AERO5301,Applied Finite Element Analysis,No official course description found
AERO5310,Foundations of Aerospace Structures,No official course description found
AERO5400,Advanced Aircraft Design Analysis,"This unit of study aims to provide familiarity and understanding with practical aircraft design processes expected in industry, including the evaluation and case studies of existing aircraft designs. Students will gain a better understanding of relevant issues particularly related to the design of aircraft with a level of confidence to lead them to develop new designs or modifications, having a good balance between theory and real-world applications. Good familiarity with unique and stringent international aviation regulations and certification processes will be expected with respect to the design of aircraft. Topics covered by the lectures will include aircraft specifications; aircraft selection and evaluation; aircraft configuration design; design considerations for aerodynamics, structures, systems, manufacture, testing, certification, life-cycle-cost, operations; the use of computational aircraft design tools, in particular DARcorp&apos;s Advanced Aircraft Analysis (AAA); and introduction to multidisciplinary design optimisation methods. Projects will be based on case study analyses and evaluation of aircraft types to operational specifications and requirements.    Classes<br>    Project Work - in class, Lectures, Meetings    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    Undergraduate level 1, 2 and 3 or Foundation Masters units in Aerospace Design are expected to have been completed before undertaking this unit.	                                        	                                                        Pre-requisites            AERO3460 or AERO5410 or AERO9460                        Prohibitions            AERO4491                                        "
AERO5410,Foundations of Aerospace Design ,No official course description found
AERO5500,Flight Mechanics Test and Evaluation Adv,"This unit aims to develop an understanding of aircraft flight test, validation and verification, and the development of modern flight control, guidance, and navigation systems. Students will gain skills in analysis, problem solving and systems design in the areas of aircraft dynamic system identification and control. At the end of this unit students will be able to understand elements of the following: the principles of stability augmentation systems and autopilot control systems in aircraft operation, their functions and purposes; the characteristics of closed loop system responses; advanced feedback control systems and state-space design techniques; the concepts of parameter and state estimation; the design of observers in the state space and the implementation of a Kalman Filter; multi-loop control and guidance systems and the reasons for their structures; flight test principles and procedures and the implementation a flight test programme.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    BE in area of Aerospace Engineering or related Engineering Field.	                                        	                                                        Pre-requisites            AERO5510 OR AERO9560 OR AERO3560                                                "
AERO5510,Foundations of Flight Mechanics,No official course description found
AERO5520,Aircraft Avionics and Systems [not running in 2018],"This unit of study aims to develop a thorough qualitative understanding of modern avionics and aircraft systems. It deals with the full breadth of cockpit avionics systems and subsystems from flight instrument and display technology to flight management, flight control, navigation and sensor systems. At the end of this unit students will be able to understand the following: the principles of modern cockpit display technologies and the information they portray; the functions of flight control and navigation systems and their interactions with actuation and other aircraft systems; engine management systems; communication systems; payload sensor systems; the interactions of avionics components with power, hydraulic, bus and communication systems together with their underlying physical principles; the principles of avionics system requirements, specification, design, regulation and certification; fault tolerance and redundancy; software engineering and system integration.    Classes<br>    Lectures, Workgroup, Laboratories, Demonstration    Assessment<br>    Through semester assessment (100%)                                        	                                                        Pre-requisites            AMME5510 OR AERO9560 OR (AERO2703 AND AERO3560)                                                "
AERO5660,Safety Systems Management,No official course description found
AERO5700,Space Engineering (Advanced),"Estimation techniques are applied to a wide range of aerospace systems. In this subject optimal estimation techniques will be presented as a collection of algorithms and their implementation.    Classes<br>    Lectures, Tutorials    Assessment<br>    Through semester assessment (100%)                                        	                                                        Pre-requisites            (AERO3760 AND AERO4701) OR AERO9760                                                "
AERO5750,Unmanned Air Vehicle Systems,"Objectives/Expected Outcomes: To develop specialist knowledge and understanding of Unmanned Air Vehicle (UAV) systems. To be able to assess, evaluate and perform preliminary design analysis on complete UAV systems. Syllabus summary: This course will focus on understanding UAVs from a system perspective. It will consider a variety of key UAV subsystems and look at how these interact to determine the overall effectiveness of a particular UAV system for a given mission. Based on this understanding it will also look at the evaluation and design of a complete UAV system for a given mission specification. Some of the primary UAV subsystems that will be considered in this course are as follows. Airframe and Propulsion: The role of the basic airframe/propulsion subsystem of the UAV in setting operational mission bounds for different classes of UAVs, from micro UAVs, through to larger vehicles. Flight Control and Avionics: Typical UAV primary flight control systems; Sensor requirements to support different levels of operation (eg auto-land vs remote-control landing etc. ,); Redundancy requirements. Navigation: Navigation requirements; inertial navigation; aiding via use of GPS; strategies to combat GPS failures. Typical Payloads: Electro-Optical (EO); Infra-Red (IR); Electronic Warfare (EW); Electronic Surveillance (ES); Radar and others. Payload stabilization and pointing accuracy requirements. Air-Ground Communication Link: Typical Civilian and Military communication links. Range, Security, Bandwidth, Cost issues. Ground Control Station(GCS): Air-vehicle monitoring; payload monitoring; data dissemination; control of multiple vehicles. The course will also consider other general issues associated with modern UAV systems including multi-vehicle systems, certification of UAV systems and others. As part of the course students will spend 1 day operating a UAV system, with their own mission guidance/mission control software on board.    Classes<br>    Lectures, Tutorials, Project Work - in class    Assessment<br>    Through semester assessment (100%)    Assumed knowledge<br>    AERO1560, AERO1400, AMME2700, AERO3460, AERO3560, AERO3260, AERO3261 and AERO4460.	                                        	        "
AERO5760,Spacecraft and Satellite Design,No official course description found
AERO5901,Project 1 and Seminar in Aerospace Eng,No official course description found
AERO5902,Project 2 and Seminar in Aerospace Eng,No official course description found
AERO9260,Aerodynamics 1,"This unit of study should prepare students to be able to undertake aerodynamic performance calculations for industry design situations. The unit aims to develop a knowledge and appreciation of the complex behaviour of airflow in the case of two dimensional aerofoil sections and three dimensional wings; To encourage hands-on experimentation with wind-tunnel tests to allow an understanding of these concepts and their range of applicability. To understand the limitations of linearised theory and the effects of unsteady flow. At the end of this unit students will be able to: predict flow properties for general aircraft wing sections to obtain lift, drag and pitching moment; extrapolate section results to predict full three dimensional wing behaviour; undertake experiments and analyse data to verify theoretical predictions; construct simple computer algorithms that will allow more complex geometries to be solved; understand the limitations of theory and the effect of second order parameters (Reynolds number, Mach Number) to the primary flow properties. Course content will include: construction and designation of two dimensional aerofoil sections; point vortex model of aerofoil; Joukowski transformation theory; thin aerofoil theory; linear lift properties for sections; limiting effects such as stall; calcualtion of pitching moment coefficient; methods for estimation of boundary flow and friction drag calculations; viscous-inviscid panel method numerical solutions; modelling of three dimension wing flows; lifting line theory and vortex lattice method; effects of downwash, aspect ratio, sweep angle and asymmetry.    Classes<br>    Lectures, Tutorials, Laboratories    Assessment<br>    Through semester assessment (50%) and Final Exam (50%)    Assumed knowledge<br>    Mathematics and Physics to the level of Bachelor of Science or equivalent. Linear Mathematics and Vector Calculus, Partial Differential Equations (Intro).	                                        	                                                        Pre-requisites            AMME9261 or AMME5200                        Prohibitions            AERO5210                                        "
